,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
42,2015年度,01-234,北海道,北広島市,59064,28273.0,30791.0
43,2015年度,01-235,北海道,石狩市,57436,27548.0,29888.0
44,2015年度,01-236,北海道,北斗市,46390,21641.0,24749.0
45,2015年度,01-303,北海道,当別町,17278,8314.0,8964.0
46,2015年度,01-304,北海道,新篠津村,3329,1604.0,1725.0
47,2015年度,01-331,北海道,松前町,7337,3283.0,4054.0
48,2015年度,01-332,北海道,福島町,4422,2047.0,2375.0
49,2015年度,01-333,北海道,知内町,4653,2306.0,2347.0
50,2015年度,01-334,北海道,木古内町,4547,2150.0,2397.0
51,2015年度,01-337,北海道,七飯町,28120,12820.0,15300.0
52,2015年度,01-343,北海道,鹿部町,4226,2053.0,2173.0
53,2015年度,01-345,北海道,森町,15946,7324.0,8622.0
54,2015年度,01-346,北海道,八雲町,17252,8401.0,8851.0
55,2015年度,01-347,北海道,長万部町,5926,2869.0,3057.0
56,2015年度,01-361,北海道,江差町,8248,3910.0,4338.0
57,2015年度,01-362,北海道,上ノ国町,4876,2193.0,2683.0
58,2015年度,01-363,北海道,厚沢部町,4049,1918.0,2131.0
59,2015年度,01-364,北海道,乙部町,3906,1791.0,2115.0
60,2015年度,01-367,北海道,奥尻町,2690,1372.0,1318.0
61,2015年度,01-370,北海道,今金町,5628,2680.0,2948.0
62,2015年度,01-371,北海道,せたな町,8473,3952.0,4521.0
